iter num.topics likelihood alpha gamma
1 5 -3857.71 0.792257 0.469565
2 6 -3815.85 0.774334 0.4269
3 8 -3798.48 0.665714 1.69359
4 7 -3776.31 0.63792 0.410559
5 7 -3711.38 0.582016 0.408755
6 8 -3742.13 0.595939 0.952713
7 8 -3770.6 0.668293 1.58735
8 8 -3787.79 0.658889 1.10885
9 8 -3765.91 0.616076 0.777178
10 9 -3770.55 0.611739 1.84935
11 7 -3742.63 0.624568 1.10073
12 8 -3754.76 0.699479 1.72048
13 8 -3738.69 0.626014 2.80383
14 7 -3711.32 0.674098 2.63697
15 7 -3694.14 0.675723 1.13767
16 5 -3671.89 0.528345 1.00502
17 5 -3626.94 0.550222 0.906823
18 6 -3656.53 0.579892 0.452657
19 5 -3663.61 0.431962 1.47541
20 5 -3645.96 0.382741 1.09945
21 5 -3636.17 0.414093 0.215933
22 4 -3634.32 0.455208 0.450145
23 4 -3642.44 0.414977 0.508087
24 4 -3648.67 0.480117 0.360701
25 4 -3635.35 0.442794 0.788089
26 4 -3611.19 0.402676 0.690527
27 4 -3612.26 0.451752 1.7917
28 4 -3608.54 0.459914 0.743169
29 5 -3649.09 0.502622 0.830303
30 4 -3644.39 0.477346 0.360385
31 5 -3605.61 0.496324 0.562473
32 4 -3641.5 0.536487 0.465385
33 5 -3650.82 0.561085 1.07486
34 4 -3623.45 0.537302 0.661868
35 4 -3686.25 0.488403 0.344007
36 3 -3603.86 0.463212 0.913811
37 3 -3600.61 0.430203 0.713695
38 3 -3533.97 0.405314 0.0505082
39 3 -3581.43 0.340403 0.379177
40 3 -3582.78 0.237706 0.453487
41 3 -3565.18 0.306989 0.51882
42 3 -3567.05 0.23948 0.640302
43 3 -3508.18 0.223409 0.956251
44 3 -3480.57 0.205706 0.410161
45 3 -3464.46 0.231524 0.0849874
46 2 -3455.5 0.191301 0.214829
47 2 -3437.69 0.20792 0.331241
48 2 -3463.92 0.195759 0.0689279
49 2 -3412.03 0.172505 0.164508
50 2 -3440.82 0.223697 0.379087
51 2 -3451.49 0.216596 0.112515
52 2 -3429.62 0.148136 0.215038
53 2 -3442.53 0.153379 0.0268126
54 2 -3421.53 0.13405 0.0397895
55 2 -3374.05 0.170178 0.221546
56 2 -3453.31 0.202249 0.117571
57 3 -3415.94 0.276529 0.529639
58 3 -3497.46 0.250898 0.557303
59 2 -3418.34 0.224113 0.199247
60 2 -3397.22 0.219655 0.367927
61 2 -3436.35 0.240636 0.0677238
62 2 -3441.83 0.248743 0.675455
63 2 -3404.06 0.224951 0.376148
64 2 -3349.64 0.17435 0.137655
65 2 -3355.87 0.183839 0.112935
66 2 -3308.32 0.154225 0.416512
67 2 -3303.98 0.175395 0.43273
68 2 -3303.92 0.151505 0.895424
69 2 -3280.45 0.168976 0.18648
70 2 -3256.28 0.180779 0.0162978
71 2 -3269.46 0.176699 0.348434
72 2 -3242.45 0.148525 0.308616
73 3 -3330.26 0.165689 0.74883
74 3 -3319.06 0.184468 0.223182
75 3 -3374.42 0.18512 0.967594
76 3 -3362.71 0.191388 0.592918
77 3 -3333.28 0.162581 1.20453
78 3 -3317.55 0.193832 0.21842
